author,title,journal,abstract,doi,ID,database,status,new_ID
Holthaus D and Kraft MR and Krug SM and Wolf S and Mller A and Delgado Betancourt E and Schorr M and Holland G and Knauf F and Schulzke JD and Aebischer T and Klotz C,Dissection of Barrier Dysfunction in Organoid-Derived Human Intestinal Epithelia Induced by Giardia duodenalis.,Gastroenterology,"BACKGROUND & AIMS: The protozoa Giardia duodenalis is a major cause of gastrointestinal illness worldwide, but underlying pathophysiological mechanisms remain obscure, partly due to the absence of adequate cellular models. We aimed at overcoming these limitations and recapitulating the authentic series of pathogenic events in the primary human duodenal tissue by using the human organoid system. METHODS: We established a compartmentalized cellular transwell system with electrophysiological and barrier properties akin to duodenal mucosa and dissected the events leading to G. duodenalis-induced barrier breakdown by functional analysis of transcriptional, electrophysiological, and tight junction components. RESULTS: Organoid-derived cell layers of different donors showed a time- and parasite load-dependent leak flux indicated by collapse of the epithelial barrier upon G. duodenalis infection. Gene set enrichment analysis suggested major expression changes, including gene sets contributing to ion transport and tight junction structure. Solute carrier family 12 member 2 and cystic fibrosis transmembrane conductance regulator-dependent chloride secretion was reduced early after infection, while changes in the tight junction composition, localization, and structural organization occurred later as revealed by immunofluorescence analysis and freeze fracture electron microscopy. Functionally, barrier loss was linked to the adenosine 3',5'-cyclic monophosphate (cAMP)/protein kinase A-cAMP response element-binding protein signaling pathway. CONCLUSIONS: Data suggest a previously unknown sequence of events culminating in intestinal barrier dysfunction upon G. duodenalis infection during which alterations of cellular ion transport were followed by breakdown of the tight junctional complex and loss of epithelial integrity, events involving a cAMP/protein kinase A-cAMP response element-binding protein mechanism. These findings and the newly established organoid-derived model to study G. duodenalis infection may help to explore new options for intervening with disease and infection, in particular relevant for chronic cases of giardiasis.",10.1053/j.gastro.2021.11.022,2320,PubMed,k,
"Kai, FuiBoon and Ou, Guanqing and Tourdot, Richard W. and Stashko, Connor and Gaietta, Guido and Swift, Mark F. and Volkmann, Niels and Long, Alexandra F. and Han, Yulong and Huang, Hector H. and Northey, Jason J. and Leidal, Andrew M. and Viasnoff, Virgile and Bryant, David M. and Guo, Wei and Wiita, Arun P. and Guo, Ming and Dumont, Sophie and Hanein, Dorit and Radhakrishnan, Ravi and Weaver, Valerie M.",ECM dimensionality tunes actin tension to modulate endoplasmic reticulum function and spheroid phenotypes of mammary epithelial cells,EMBO JOURNAL,"Patient-derived organoids and cellular spheroids recapitulate tissue physiology with remarkable fidelity. We investigated how engagement with a reconstituted basement membrane in three dimensions (3D) supports the polarized, stress resilient tissue phenotype of mammary epithelial spheroids. Cells interacting with reconstituted basement membrane in 3D had reduced levels of total and actin-associated filamin and decreased cortical actin tension that increased plasma membrane protrusions to promote negative plasma membrane curvature and plasma membrane protein associations linked to protein secretion. By contrast, cells engaging a reconstituted basement membrane in 2D had high cortical actin tension that forced filamin unfolding and endoplasmic reticulum (ER) associations. Enhanced filamin-ER interactions increased levels of PKR-like ER kinase effectors and ER-plasma membrane contact sites that compromised calcium homeostasis and diminished cell viability. Consequently, cells with decreased cortical actin tension had reduced ER stress and survived better. Consistently, cortical actin tension in cellular spheroids regulated polarized basement membrane membrane deposition and sensitivity to exogenous stress. The findings implicate cortical actin tension- mediated filamin unfolding in ER function and underscore the importance of tissue mechanics in organoid homeostasis.",10.15252/embj.20211092051,49697,Web of Science,r,
Kai F and Ou G and Tourdot RW and Stashko C and Gaietta G and Swift MF and Volkmann N and Long AF and Han Y and Huang HH and Northey JJ and Leidal AM and Viasnoff V and Bryant DM and Guo W and Wiita AP and Guo M and Dumont S and Hanein D and Radhakrishnan R and Weaver VM,ECM dimensionality tunes actin tension to modulate endoplasmic reticulum function and spheroid phenotypes of mammary epithelial cells.,The EMBO journal,"Patient-derived organoids and cellular spheroids recapitulate tissue physiology with remarkable fidelity. We investigated how engagement with a reconstituted basement membrane in three dimensions (3D) supports the polarized, stress resilient tissue phenotype of mammary epithelial spheroids. Cells interacting with reconstituted basement membrane in 3D had reduced levels of total and actin-associated filamin and decreased cortical actin tension that increased plasma membrane protrusions to promote negative plasma membrane curvature and plasma membrane protein associations linked to protein secretion. By contrast, cells engaging a reconstituted basement membrane in 2D had high cortical actin tension that forced filamin unfolding and endoplasmic reticulum (ER) associations. Enhanced filamin-ER interactions increased levels of PKR-like ER kinase effectors and ER-plasma membrane contact sites that compromised calcium homeostasis and diminished cell viability. Consequently, cells with decreased cortical actin tension had reduced ER stress and survived better. Consistently, cortical actin tension in cellular spheroids regulated polarized basement membrane membrane deposition and sensitivity to exogenous stress. The findings implicate cortical actin tension-mediated filamin unfolding in ER function and underscore the importance of tissue mechanics in organoid homeostasis.",10.15252/embj.2021109205,1516,PubMed,k,
"Das, P. and Das, M. K.",EMERGING CANCER MODELS FOR DRUGS AND NOVEL DOSAGES DEVELOPMENT,WORLD CANCER RESEARCH JOURNAL,"Objective: Cancer is the primary cause of death all over the world, despite of its early detection and novel therapies available. The process of cancer drug development is growing tremendously. With respect to many limitations in human studies, there is the need to develop experimental models for screening of efficacy and toxicity of developing drugs. The purpose of this study is to investigate the cancer model for drug development. Materials and Methods: In this review, articles are extracted with selected keywords from the PubMed, SID, Springer, Medlib, Web of Science (Clarivate) and ScienceDirect databases without any language restrictions. Results: The efforts to reduce global cancer burden are mainly focused on developing innovative diagnostic and therapeutic tools. A plenty of in vitro and in vivo models are utilized in cancer drug discovery process. Successful bench-to-bedside translation of basic scientific findings about cancer into therapeutic interventions for patients depends on the selection of appropriate experimental models for testing. Conclusions: The presented models have both advantages and disadvantages. None of them are absolutely ideal while they are chosen according to the purpose of the investigator and the advantages of each method for cancer research.",NA,12170,Web of Science,k,
"Das, P. and Das, M. K.",EMERGING CANCER MODELS FOR DRUGS AND NOVEL DOSAGES DEVELOPMENT,WORLD CANCER RESEARCH JOURNAL,"Objective: Cancer is the primary cause of death all over the world, despite of its early detection and novel therapies available. The process of cancer drug development is growing tremendously. With respect to many limitations in human studies, there is the need to develop experimental models for screening of efficacy and toxicity of developing drugs. The purpose of this study is to investigate the cancer model for drug development. Materials and Methods: In this review, articles are extracted with selected keywords from the PubMed, SID, Springer, Medlib, Web of Science (Clarivate) and ScienceDirect databases without any language restrictions. Results: The efforts to reduce global cancer burden are mainly focused on developing innovative diagnostic and therapeutic tools. A plenty of in vitro and in vivo models are utilized in cancer drug discovery process. Successful bench-to-bedside translation of basic scientific findings about cancer into therapeutic interventions for patients depends on the selection of appropriate experimental models for testing. Conclusions: The presented models have both advantages and disadvantages. None of them are absolutely ideal while they are chosen according to the purpose of the investigator and the advantages of each method for cancer research.",NA,50692,Web of Science,r,
Qian W. and Guo S.,Evaluating the performance of two NGS-based copy number aberration detection tools in patient-derived organoids,Eur. J. Cancer,NA,10.1016/s0959-8049%2822%2901052-8,42623,EMBASE,r,
"Qian, W. and Guo, S.",Evaluating the performance of two NGS-based copy number aberration detection tools in patient-derived organoids,European Journal of Cancer,NA,10.1016/s0959-8049(22)01052-8,52852,Scopus,k,
Iyer K. and Miggelenbrink A. and Poel D. and van den Hombergh E. and de Jong L. and van Erp N. and Taurielllo D. and Verheul H.,Exposure-response relation in metastatic colorectal cancer organoids after high-dose short-term tyrosine kinase inhibitor exposure,Eur. J. Cancer,NA,10.1016/s0959-8049%2822%2900861-9,42112,EMBASE,r,
"Iyer, K. and Miggelenbrink, A. and Poel, D. and van den Hombergh, E. and de Jong, L. and van Erp, N. and Taurielllo, D. and Verheul, H.",Exposure-response relation in metastatic colorectal cancer organoids after high-dose short-term tyrosine kinase inhibitor exposure,European Journal of Cancer,NA,10.1016/s0959-8049(22)00861-9,54409,Scopus,k,
"Eenjes, E. and Grommisch, D. and Genander, M.",Functional Characterization and Visualization of Esophageal Fibroblasts Using Organoid Co-Cultures,Journal of Visualized Experiments,"Epithelial stem and progenitor cells contribute to the formation and maintenance of the epithelial barrier throughout life. Most stem and progenitor cell populations are tucked away in anatomically distinct locations, enabling exclusive interactions with niche signals that maintain stemness. While the development of epithelial organoid cultures provides a powerful tool for understanding the role of stem and progenitor cells in homeostasis and disease, the interaction within the niche environment is largely absent, thereby hindering the identification of factors influencing stem cell behavior. Fibroblasts play a key role in directing epithelial stem and progenitor fate. Here, a comprehensive organoid-fibroblast co-culture protocol enabling the delineation of fibroblast subpopulations in esophageal progenitor cell renewal and differentiation is presented. In this protocol, a method to isolate both epithelial cells and fibroblasts in parallel from the esophagus is described. Distinct fluorescence-activated cell sorting strategies to isolate both the esophageal progenitor cells as well as the fibroblast subpopulations from either transgenic reporter or wild-type mice are outlined. This protocol provides a versatile approach that can be adapted to accommodate the isolation of specific fibroblast subpopulations. Establishing and passaging esophageal epithelial organoid mono-cultures is included in this protocol, enabling a direct comparison with the co-culture system. In addition, a 3D clearing approach allowing for detailed image analysis of epithelial-fibroblast interactions is described. Collectively, this protocol describes a comparative and relatively high-throughput method for identifying and understanding esophageal stem cell niche components in vitro.  2023 JoVE Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License.",10.3791/64905,53986,Scopus,k,
"Eenjes, Evelien and Grommisch, David and Genander, Maria",Functional Characterization and Visualization of Esophageal Fibroblasts Using Organoid Co-Cultures,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,"Epithelial stem and progenitor cells contribute to the formation and maintenance of the epithelial barrier throughout life. Most stem and progenitor cell populations are tucked away in anatomically distinct locations, enabling exclusive interactions with niche signals that maintain stemness. While the development of epithelial organoid cultures provides a powerful tool for understanding the role of stem and progenitor cells in homeostasis and disease, the interaction within the niche environment is largely absent, thereby hindering the identification of factors influencing stem cell behavior. Fibroblasts play a key role in directing epithelial stem and progenitor fate. Here, a comprehensive organoid-fibroblast co-culture protocol enabling the delineation of fibroblast subpopulations in esophageal progenitor cell renewal and differentiation is presented. In this protocol, a method to isolate both epithelial cells and fibroblasts in parallel from the esophagus is described. Distinct fluorescenceactivated cell sorting strategies to isolate both the esophageal progenitor cells as well as the fibroblast subpopulations from either transgenic reporter or wild-type mice are outlined. This protocol provides a versatile approach that can be adapted to accommodate the isolation of specific fibroblast subpopulations. Establishing and passaging esophageal epithelial organoid mono-cultures is included in this protocol, enabling a direct comparison with the co-culture system. In addition, a 3D clearing approach allowing for detailed image analysis of epithelial-fibroblast interactions is described. Collectively, this protocol describes a comparative and relatively highthroughput method for identifying and understanding esophageal stem cell niche components in vitro.",NA,49717,Web of Science,r,
Chew L and Aonuevo A and Knock E,Generating Cerebral Organoids from Human Pluripotent Stem Cells.,"Methods in molecular biology (Clifton, N.J.)",3D brain organoids derived from human pluripotent stem cells (hPSCs) possess the remarkable ability to self-organize and differentiate into tissue resembling the early human fetal brain. Brain organoids provide a powerful tool for studying human brain development and disease in an in vitro system. Here we describe a protocol for the differentiation of hPSCs to human cerebral organoids using a commercially available kit (STEMdiff Cerebral Organoid Kit) and discuss methods to scale up the protocol in a high-throughput manner.,10.1007/978-1-0716-1783-0_15,9878,PubMed,u,
Lancaster MA and Knoblich JA,Generation of cerebral organoids from human pluripotent stem cells.,Nature protocols,"Human brain development exhibits several unique aspects, such as increased complexity and expansion of neuronal output, that have proven difficult to study in model organisms. As a result, in vitro approaches to model human brain development and disease are an intense area of research. Here we describe a recently established protocol for generating 3D brain tissue, so-called cerebral organoids, which closely mimics the endogenous developmental program. This method can easily be implemented in a standard tissue culture room and can give rise to developing cerebral cortex, ventral telencephalon, choroid plexus and retinal identities, among others, within 1-2 months. This straightforward protocol can be applied to developmental studies, as well as to the study of a variety of human brain diseases. Furthermore, as organoids can be maintained for more than 1 year in long-term culture, they also have the potential to model later events such as neuronal maturation and survival.",10.1038/nprot.2014.158,7539,PubMed,u,
"Cefalu, W.T. and Andersen, D.K. and Arreaza-Rubn, G. and Pin, C.L. and Sato, S. and Verchere, C.B. and Woo, M. and Rosenblum, N.D. and symposium planning committee moderators speakers","Heterogeneity of Diabetes: b-Cells, Phenotypes, and Precision Medicine: Proceedings of an International Symposium of the Canadian Institutes of Health Researchs Institute of Nutrition, Metabolism and Diabetes and the U.S. National Institutes of Healths National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes,"One hundred years have passed since the discovery of insulin-an achievement that transformed diabetes from a fatal illness into a manageable chronic condi-tion. The decades since that momentous achievement have brought ever more rapid innovation and advance-ment in diabetes research and clinical care. To cele-brate the important work of the past century and help to chart a course for its continuation into the next, the Canadian Institutes of Health Researchs Institute of Nutrition, Metabolism and Diabetes and the U.S. National Institutes of Healths National Institute of Diabetes and Digestive and Kidney Diseases recently held a joint international symposium, bringing together a cohort of researchers with diverse interests and back-grounds from both countries and beyond to discuss their collective quest to better understand the heterogeneity of diabetes and thus gain insights to inform new directions in diabetes treatment and prevention. This article summarizes the proceedings of that sym-posium, which spanned cutting-edge research into various aspects of islet biology, the heterogeneity of diabetic phenotypes, and the current state of and future prospects for precision medicine in diabetes.  2021, American Diabetes Association Inc. All rights reserved.",10.2337/db21-0777,11340,Scopus,k,
"Cefalu, W.T. and Andersen, D.K. and Arreaza-Rubn, G. and Pin, C.L. and Sato, S. and Bruce Verchere, C. and Woo, M. and Rosenblum, N.D.","Heterogeneity of Diabetes: B-Cells, Phenotypes, and Precision Medicine: Proceedings of an International Symposium of the Canadian Institutes of Health Researchs Institute of Nutrition, Metabolism and Diabetes and the U.S. National Institutes of Healths National Institute of Diabetes and Digestive and Kidney Diseases",Diabetes Care,"One hundred years have passed since the discovery of insulin-an achievement that transformed diabetes from a fatal illness into a manageable chronic condition. The decades since that momentous achievement have brought ever more rapid innovation and advancement in diabetes research and clinical care. To celebrate the important work of the past century and help to chart a course for its continuation into the next, the Canadian Institutes of Health Researchs Institute of Nutrition, Metabolism and Diabetes and the U.S. National Institutes of Healths National Institute of Diabetes and Digestive and Kidney Diseases recently held a joint international symposium, bringing together a cohort of researchers with diverse interests and backgrounds from both countries and beyond to discuss their collective quest to better understand the heterogeneity of diabetes and thus gain insights to inform new directions in diabetes treatment and prevention. This article summarizes the proceedings of that symposium, which spanned cutting-edge research into various aspects of islet biology, the heterogeneity of diabetic phenotypes, and the current state of and future prospects for precision medicine in diabetes.  2021 by the American Diabetes Association and the Canadian Diabetes Association.",10.2337/dci21-0051,53359,Scopus,r,
Hornsveld M. and Madej M. and Garcia Mateos J. and Goverse G. and Putker M. and Spanjaard E. and Price L. and Herpers B.,High content screening of ovarian organoid models to accelerate anti-cancer drug discovery,Eur. J. Cancer,NA,10.1016/s0959-8049%2822%2901105-4,42086,EMBASE,r,
"Hornsveld, M. and Madej, M. and Garca Mateos, J. and Goverse, G. and Putker, M. and Spanjaard, E. and Price, L. and Herpers, B.",High content screening of ovarian organoid models to accelerate anti-cancer drug discovery,European Journal of Cancer,NA,10.1016/s0959-8049(22)01105-4,54408,Scopus,k,
"van Rijn, Jorik M. and Eriksson, Jens and Gruttner, Jana and Sundbom, Magnus and Webb, Dominic-Luc and Hellstrom, Per M. and Svard, Staffan G. and Sellin, Mikael E.",High-Definition DIC Imaging Uncovers Transient Stages of Pathogen Infection Cycles on the Surface of Human Adult Stem Cell-Derived Intestinal Epithelium,MBIO,"Interactions between individual pathogenic microbes and host tissues involve fast and dynamic processes that ultimately impact the outcome of infection. Using live-cell microscopy, these dynamics can be visualized to study, e.g., microbe motility, binding and invasion of host cells, and intrahost-cell survival. Such methodology typically employs confocal imaging of fluorescent tags in tumor-derived cell line infections on glass. This allows high-definition imaging but poorly reflects the host tissue's physiological architecture and may result in artifacts. We developed a method for live-cell imaging of microbial infection dynamics on human adult stem cell-derived intestinal epithelial cell (IEC) layers. These IEC layers are grown in apical imaging chambers, optimized for physiological cell arrangement and fast, but gentle, differential interference contrast (DIC) imaging. This allows subsecond visualization of both microbial and epithelial surface ultrastructure at high resolution without using fluorescent reporters. We employed this technology to probe the behavior of two model pathogens, Salmonella enterica serovar Typhimurium and Giardia intestinalis, at the intestinal epithelial surface. Our results reveal pathogen-specific swimming patterns on the epithelium and show that Salmonella lingers on the IEC surface for prolonged periods before host cell invasion, while Giardia uses circular swimming with intermittent attachments to scout for stable adhesion sites. The method even permits tracking of individual Giardia flagella, demonstrating that active flagellar beating and attachment to the IEC surface are not mutually exclusive. This work describes a generalizable and relatively inexpensive approach to resolving dynamic pathogen-IEC layer interactions, applicable even to genetically nontractable microorganisms. IMPORTANCE Knowledge of dynamic niche-specific interactions between single microbes and host cells is essential to understand infectious disease progression. However, advances in this field have been hampered by the inherent conflict between the technical requirements for high-resolution live-cell imaging on the one hand and conditions that best mimic physiological infection niche parameters on the other. Toward bridging this divide, we present a methodology for differential interference contrast (DIC) imaging of pathogen interactions at the apical surface of enteroid-derived intestinal epithelia, providing both high spatial and temporal resolution. This alleviates the need for fluorescent reporters in live-cell imaging and provides dynamic information about microbe interactions with a nontransformed, confluent, polarized, and microvilliated human gut epithelium. Using this methodology, we uncover previously unrecognized stages of Salmonella and Giardia infection cycles at the epithelial surface.",NA,49271,Web of Science,r,
van Rijn JM and Eriksson J and Grttner J and Sundbom M and Webb DL and Hellstrm PM and Svrd SG and Sellin ME,High-Definition DIC Imaging Uncovers Transient Stages of Pathogen Infection Cycles on the Surface of Human Adult Stem Cell-Derived Intestinal Epithelium.,mBio,"Interactions between individual pathogenic microbes and host tissues involve fast and dynamic processes that ultimately impact the outcome of infection. Using live-cell microscopy, these dynamics can be visualized to study, e.g., microbe motility, binding and invasion of host cells, and intrahost-cell survival. Such methodology typically employs confocal imaging of fluorescent tags in tumor-derived cell line infections on glass. This allows high-definition imaging but poorly reflects the host tissue's physiological architecture and may result in artifacts. We developed a method for live-cell imaging of microbial infection dynamics on human adult stem cell-derived intestinal epithelial cell (IEC) layers. These IEC layers are grown in apical imaging chambers, optimized for physiological cell arrangement and fast, but gentle, differential interference contrast (DIC) imaging. This allows subsecond visualization of both microbial and epithelial surface ultrastructure at high resolution without using fluorescent reporters. We employed this technology to probe the behavior of two model pathogens, Salmonella enterica serovar Typhimurium and Giardia intestinalis, at the intestinal epithelial surface. Our results reveal pathogen-specific swimming patterns on the epithelium and show that Salmonella lingers on the IEC surface for prolonged periods before host cell invasion, while Giardia uses circular swimming with intermittent attachments to scout for stable adhesion sites. The method even permits tracking of individual Giardia flagella, demonstrating that active flagellar beating and attachment to the IEC surface are not mutually exclusive. This work describes a generalizable and relatively inexpensive approach to resolving dynamic pathogen-IEC layer interactions, applicable even to genetically nontractable microorganisms. IMPORTANCE Knowledge of dynamic niche-specific interactions between single microbes and host cells is essential to understand infectious disease progression. However, advances in this field have been hampered by the inherent conflict between the technical requirements for high-resolution live-cell imaging on the one hand and conditions that best mimic physiological infection niche parameters on the other. Toward bridging this divide, we present a methodology for differential interference contrast (DIC) imaging of pathogen interactions at the apical surface of enteroid-derived intestinal epithelia, providing both high spatial and temporal resolution. This alleviates the need for fluorescent reporters in live-cell imaging and provides dynamic information about microbe interactions with a nontransformed, confluent, polarized, and microvilliated human gut epithelium. Using this methodology, we uncover previously unrecognized stages of Salmonella and Giardia infection cycles at the epithelial surface.",10.1128/mbio.00022-22,10098,PubMed,k,
"Rhodes, Katherine and Barr, Kenneth A. and Popp, Joshua M. and Strober, Benjamin J. and Battle, Alexis and Gilad, Yoav",Human embryoid bodies as a novel system for genomic studies of functionally diverse cell types,ELIFE,"Practically all studies of gene expression in humans to date have been performed in a relatively small number of adult tissues. Gene regulation is highly dynamic and context-dependent. In order to better understand the connection between gene regulation and complex phenotypes, including disease, we need to be able to study gene expression in more cell types, tissues, and states that are relevant to human phenotypes. In particular, we need to characterize gene expression in early development cell types, as mutations that affect developmental processes may be of particular relevance to complex traits. To address this challenge, we propose to use embryoid bodies (EBs), which are organoids that contain a multitude of cell types in dynamic states. EBs provide a system in which one can study dynamic regulatory processes at an unprecedentedly high resolution. To explore the utility of EBs, we systematically explored cellular and gene expression heterogeneity in EBs from multiple individuals. We characterized the various cell types that arise from EBs, the extent to which they recapitulate gene expression in vivo, and the relative contribution of technical and biological factors to variability in gene expression, cell composition, and differentiation efficiency. Our results highlight the utility of EBs as a new model system for mapping dynamic inter-individual regulatory differences in a large variety of cell types. eLife digest One major goal of human genetics is to understand how changes in the way genes are regulated affect human traits, including disease susceptibility. To date, most studies of gene regulation have been performed in adult tissues, such as liver or kidney tissue, that were collected at a single time point. Yet, gene regulation is highly dynamic and context-dependent, meaning that it is important to gather data from a greater variety of cell types at different stages of their development. Additionally, observing which genes switch on and off in response to external treatments can shed light on how genetic variation can drive errors in gene regulation and cause diseases. Stem cells can produce more cells like themselves or differentiate - acquire the characteristics - of many cell types. These cells have been used in the laboratory to research gene regulation. Unfortunately, these studies often fail to capture the complex spatial and temporal dynamics of stem cell differentiation; in particular, these studies are unable to observe gene regulation in the transient cell types that appear early in embryonic development. To overcome these limitations, scientists developed systems such as embryoid bodies: three-dimensional aggregates of stem cells that, when grown under certain conditions, spontaneously develop into a variety of cell types. Rhodes, Barr et al. wanted to assess the utility of embryoid bodies as a model to study how genes are dynamically regulated in different cell types, by different individuals who have distinct genetic makeups. To do this, they grew embryoid bodies made from human stem cells from different individuals to examine which genes switched on and off as the stem cells that formed the embryoid bodies differentiated into different types of cells. The results showed that it was possible to grow embryoid bodies derived from genetically distinct individuals that consistently produce diverse cell types, similar to those found during human fetal development. Rhodes, Barr et al.'s findings suggest that embryoid bodies are a useful model to study gene regulation across individuals with different genetic backgrounds. This could accelerate research into how genetics are associated with disease by capturing gene regulatory dynamics at an unprecedentedly high spatial and temporal resolution. Additionally, embryoid bodies could be used to explore how exposure to different environmental factors during early development affect disease-related outcomes in adulthood in different individuals.",10.7554/elife.71361; 10.7554/elife.71361.sa0; 10.7554/elife.71361.sa1; 10.7554/elife.71361.sa2,51269,Web of Science,r,
Rhodes K and Barr KA and Popp JM and Strober BJ and Battle A and Gilad Y,Human embryoid bodies as a novel system for genomic studies of functionally diverse cell types.,eLife,"Practically all studies of gene expression in humans to date have been performed in a relatively small number of adult tissues. Gene regulation is highly dynamic and context-dependent. In order to better understand the connection between gene regulation and complex phenotypes, including disease, we need to be able to study gene expression in more cell types, tissues, and states that are relevant to human phenotypes. In particular, we need to characterize gene expression in early development cell types, as mutations that affect developmental processes may be of particular relevance to complex traits. To address this challenge, we propose to use embryoid bodies (EBs), which are organoids that contain a multitude of cell types in dynamic states. EBs provide a system in which one can study dynamic regulatory processes at an unprecedentedly high resolution. To explore the utility of EBs, we systematically explored cellular and gene expression heterogeneity in EBs from multiple individuals. We characterized the various cell types that arise from EBs, the extent to which they recapitulate gene expression in vivo, and the relative contribution of technical and biological factors to variability in gene expression, cell composition, and differentiation efficiency. Our results highlight the utility of EBs as a new model system for mapping dynamic inter-individual regulatory differences in a large variety of cell types.",10.7554/elife.71361,2720,PubMed,k,
Romero-Morales A.I. and Robertson G.L. and Rastogi A. and Rasmussen M.L. and Temuri H. and McElroy G.S. and Chakrabarty R.P. and Hsu L. and Almonacid P.M. and Millis B.A. and Chandel N.S. and Cartailler J.-P. and Gama V.,Human iPSC-derived cerebral organoids model features of Leigh syndrome and reveal abnormal corticogenesis,Development,"Leigh syndrome (LS) is a rare, inherited neurometabolic disorder that presents with bilateral brain lesions caused by defects in the mitochondrial respiratory chain and associated nuclear-encoded proteins. We generated human induced pluripotent stem cells (iPSCs) from three LS patient-derived fibroblast lines. Using wholeexome and mitochondrial sequencing, we identified unreported mutations in pyruvate dehydrogenase (GM0372, PDH; GM13411, MT-ATP6/PDH) and dihydrolipoyl dehydrogenase (GM01503, DLD). These LS patient-derived iPSC lines were viable and capable of differentiating into progenitor populations, but we identified several abnormalities in three-dimensional differentiation models of brain development. LS patient-derived cerebral organoids showed defects in neural epithelial bud generation, size and cortical architecture at 100 days. The double mutant MT-ATP6/PDH line produced organoid neural precursor cells with abnormal mitochondrial morphology, characterized by fragmentation and disorganization, and showed an increased generation of astrocytes. These studies aim to provide a comprehensive phenotypic characterization of available patient-derived cell lines that can be used to study Leigh syndrome.Copyright 2022. Published by The Company of Biologists Ltd.",10.1242/dev.199914/2151195/dev199914,42630,EMBASE,r,
Romero-Morales AI and Robertson GL and Rastogi A and Rasmussen ML and Temuri H and McElroy GS and Chakrabarty RP and Hsu L and Almonacid PM and Millis BA and Chandel NS and Cartailler JP and Gama V,Human iPSC-derived cerebral organoids model features of Leigh syndrome and reveal abnormal corticogenesis.,"Development (Cambridge, England)","Leigh syndrome (LS) is a rare, inherited neurometabolic disorder that presents with bilateral brain lesions caused by defects in the mitochondrial respiratory chain and associated nuclear-encoded proteins. We generated human induced pluripotent stem cells (iPSCs) from three LS patient-derived fibroblast lines. Using whole-exome and mitochondrial sequencing, we identified unreported mutations in pyruvate dehydrogenase (GM0372, PDH; GM13411, MT-ATP6/PDH) and dihydrolipoyl dehydrogenase (GM01503, DLD). These LS patient-derived iPSC lines were viable and capable of differentiating into progenitor populations, but we identified several abnormalities in three-dimensional differentiation models of brain development. LS patient-derived cerebral organoids showed defects in neural epithelial bud generation, size and cortical architecture at 100days. The double mutant MT-ATP6/PDH line produced organoid neural precursor cells with abnormal mitochondrial morphology, characterized by fragmentation and disorganization, and showed an increased generation of astrocytes. These studies aim to provide a comprehensive phenotypic characterization of available patient-derived cell lines that can be used to study Leigh syndrome.",10.1242/dev.199914,1648,PubMed,k,
"bin Imtiaz, M.K. and Royall, L.N. and Gonzalez-Bohorquez, D. and Jessberger, S.",Human neural progenitors establish a diffusion barrier in the endoplasmic reticulum membrane during cell division,Development (Cambridge),"Asymmetric segregation of cellular components regulates the fate and behavior of somatic stem cells. Similar to dividing budding yeast and precursor cells in Caenorhabditis elegans, it has been shown that mouse neural progenitors establish a diffusion barrier in the membrane of the endoplasmic reticulum (ER), which has been associated with asymmetric partitioning of damaged proteins and cellular age. However, the existence of an ER diffusion barrier in human cells remains unknown. Here, we used fluorescence loss in photobleaching (FLIP) imaging to show that human embryonic stem cell (hESC)- and induced pluripotent stem cell (iPSC)-derived neural progenitor cells establish an ER diffusion barrier during cell division. The human ER diffusion barrier is regulated via lamin-dependent mechanisms and is associated with asymmetric segregation of mono- and polyubiquitylated damaged proteins. Further, forebrain regionalized organoids derived from hESCs were used to show the establishment of an ER membrane diffusion barrier in more naturalistic tissues, mimicking early steps of human brain development. Thus, the data provided here show that human neural progenitors establish a diffusion barrier during cell division in the membrane of the ER, which may allow for asymmetric segregation of cellular components, contributing to the fate and behavior of human neural progenitor cells.  2022. Published by The Company of Biologists Ltd.",10.1242/dev.200613/2156024/dev200613,54431,Scopus,r,
Bin Imtiaz MK and Royall LN and Gonzalez-Bohorquez D and Jessberger S,Human neural progenitors establish a diffusion barrier in the endoplasmic reticulum membrane during cell division.,"Development (Cambridge, England)","Asymmetric segregation of cellular components regulates the fate and behavior of somatic stem cells. Similar to dividing budding yeast and precursor cells in Caenorhabditis elegans, it has been shown that mouse neural progenitors establish a diffusion barrier in the membrane of the endoplasmic reticulum (ER), which has been associated with asymmetric partitioning of damaged proteins and cellular age. However, the existence of an ER diffusion barrier in human cells remains unknown. Here, we used fluorescence loss in photobleaching (FLIP) imaging to show that human embryonic stem cell (hESC)- and induced pluripotent stem cell (iPSC)-derived neural progenitor cells establish an ER diffusion barrier during cell division. The human ER diffusion barrier is regulated via lamin-dependent mechanisms and is associated with asymmetric segregation of mono- and polyubiquitylated damaged proteins. Further, forebrain regionalized organoids derived from hESCs were used to show the establishment of an ER membrane diffusion barrier in more naturalistic tissues, mimicking early steps of human brain development. Thus, the data provided here show that human neural progenitors establish a diffusion barrier during cell division in the membrane of the ER, which may allow for asymmetric segregation of cellular components, contributing to the fate and behavior of human neural progenitor cells.",10.1242/dev.200613,1633,PubMed,k,
