"author","title","journal","abstract","doi","ID","database","status"
"Smith A.S.T. and Long C.J. and Mcaleer C. and Guo X. and Esch M. and Prot J.M. and Shuler M.L. and Hickman J.J.","Body-on-a-chip technology and supporting microfluidics","RSC Drug Discov. Ser",NA,NA,1258,"EMBASE","r"
"Smith, A.S.T. and Long, C.J. and Mcaleer, C. and Guo, X. and Esch, M. and Prot, J.M. and Shuler, M.L. and Hickman, J.J.","Body-on-a-chip technology and supporting microfluidics","RSC Drug Discovery Series",NA,NA,3184,"Scopus","k"
"Sieber, S. and Wirth, L. and Cavak, N. and Koenigsmark, M. and Marx, U. and Lauster, R. and Rosowski, M.","Bone marrow-on-a-chip: Long-term culture of human haematopoietic stem cells in a three-dimensional microfluidic environment","Journal of Tissue Engineering and Regenerative Medicine","Multipotent haematopoietic stem and progenitor cells (HSPCs) are the source for all blood cell types. The bone marrow stem cell niche in which the HSPCs are maintained is known to be vital for their maintenance. Unfortunately, to date, no in vitro model exists that accurately mimics the aspects of the bone marrow niche and simultaneously allows the long-term culture of HSPCs. In this study, a novel three-dimensional coculture model is presented, based on a hydroxyapatite coated zirconium oxide scaffold, comprising of human mesenchymal stromal cells (MSCs) and cord blood derived HSPCs, enabling successful HSPC culture for a time span of 28 days within the microfluidic multiorgan chip. The HSPCs were found to stay in their primitive state (CD34+CD38) and capable of granulocyte, erythrocyte, macrophage, megakaryocyte colony formation. Furthermore, a microenvironment was formed bearing molecular and structural similarity to the in vivo bone marrow niche containing extracellular matrix and signalling molecules known to play an important role in HSPC homeostasis. Here, a novel human in vitro bone marrow model is presented for the first time, capable of long-term culture of primitive HSPCs in a microfluidic environment. ","10.1002/term.2507",1048,"Scopus","k"
"Sieber, Stefan and Wirth, Lorenz and Cavak, Nino and Koenigsmark, Marielle and Marx, Uwe and Lauster, Roland and Rosowski, Mark","Bone marrow-on-a-chip: Long-term culture of human haematopoietic stem cells in a three-dimensional microfluidic environment","JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE","Multipotent haematopoietic stem and progenitor cells (HSPCs) are the source for all blood cell types. The bone marrow stem cell niche in which the HSPCs are maintained is known to be vital for their maintenance. Unfortunately, to date, no in vitro model exists that accurately mimics the aspects of the bone marrow niche and simultaneously allows the long-term culture of HSPCs. In this study, a novel three-dimensional coculture model is presented, based on a hydroxyapatite coated zirconium oxide scaffold, comprising of human mesenchymal stromal cells (MSCs) and cord blood derived HSPCs, enabling successful HSPC culture for a time span of 28days within the microfluidic multiorgan chip. The HSPCs were found to stay in their primitive state (CD34(+)CD38(-)) and capable of granulocyte, erythrocyte, macrophage, megakaryocyte colony formation. Furthermore, a microenvironment was formed bearing molecular and structural similarity to the in vivo bone marrow niche containing extracellular matrix and signalling molecules known to play an important role in HSPC homeostasis. Here, a novel human in vitro bone marrow model is presented for the first time, capable of long-term culture of primitive HSPCs in a microfluidic environment.",NA,3310,"Web of Science","r"
"Kuchava G. and Mantskava M.","Brain blood flow control with artificial intelligence","Ser. Biomech","Blood flow in the brain is regulated by neurons. Knowledge of how these cells control blood flow is crucial for understanding how connect neural computation and electric circuit, for fix disease of eyesight, and for developing treatments for neurological disorders. It is now recognized that implant of artificial intelligence electric processor on skull has a key role in brain blood flow regulation via electric stimulation on blood cells. After creation hybrid of human and artificial intelligence, brain neural network working will not depend on human's autonomous operating system control, but It will be under artificial intelligence operating system control, which will be excludes complex of brain disease like Alzheimer's syndrome, Humans will never forget any information anymore. These conceptual shifts in our understanding of artificial intelligence operating system have important implications for the development of new therapeutic approaches. Since the advent of organ-on-a-chip, many researchers have tried to mimic the physiology of human tissue on an engineered platform. In the case of brain tissue, structural connections and cell-cell interactions are important factors for brain function. The recent development of brain-on-a-chip is an effort to mimic those structural and functional aspects of brain tissue within a miniaturized engineered platform. From this perspective, we provide an overview of trace of brain-on-a-chip development, especially in terms of complexity and high-content/high-throughput screening capabilities, and future perspectives on more in vivo-like brain-on-a-chip development.",NA,485,"EMBASE","k"
"Kuchava, G. and Mantskava, M.","Brain blood flow control with artificial intelligence","Series on Biomechanics","Blood flow in the brain is regulated by neurons. Knowledge of how these cells control blood flow is crucial for understanding how connect neural computation and electric circuit, for fix disease of eyesight, and for developing treatments for neurological disorders. It is now recognized that implant of artificial intelligence electric processor on skull has a key role in brain blood flow regulation via electric stimulation on blood cells. After creation hybrid of human and artificial intelligence, brain neural network working will not depend on humans autonomous operating system control, but It will be under artificial intelligence operating system control, which will be excludes complex of brain disease like Alzheimers syndrome, Humans will never forget any information anymore. These conceptual shifts in our understanding of artificial intelligence operating system have important implications for the development of new therapeutic approaches. Since the advent of organ-on-a-chip, many researchers have tried to mimic the physiology of human tissue on an engineered platform. In the case of brain tissue, structural connections and cell-cell interactions are important factors for brain function. The recent development of brain-on-a-chip is an effort to mimic those structural and functional aspects of brain tissue within a miniaturized engineered platform. From this perspective, we provide an overview of trace of brain-on-a-chip development, especially in terms of complexity and high-content/high-throughput screening capabilities, and future perspectives on more in vivo-like brain-on-a-chip development.  2021, Bulgarska Akademiya na Naukite. All rights reserved.",NA,3047,"Scopus","r"
"Muzzi, L. and Martinoia, S. and Frega, M.","Brain-on-a-chip: A human 3D model for clinical application","Studies in Health Technology and Informatics","The main goal of this research is to design, develop and implement an efficient protocol to generate 3D neural cultures derived from human induced Pluripotent Stem Cells (hiPSCs) coupled to Micro Electrode Arrays (MEA) in order to obtain an engineered and controlled brain-on-a-chip model. The use of patient specific iPSCs may offer novel insights into the pathophysiology of a large variety of disorders, including numerous neurodevelopmental and late-onset neurodegenerative conditions. With these in vitro patient specific models, we may have the possibility to test drugs and find ad hoc therapies in the direction of precision medicine.  2019 The authors and IOS Press. All rights reserved.","10.3233/978-1-61499-975-1-274",3094,"Scopus","k"
"Muzzi L. and Martinoia S. and Frega M.","Brain-on-a-Chip: A Human 3D Model for Clinical Application","Stud Health Technol Inform","The main goal of this research is to design, develop and implement an efficient protocol to generate 3D neural cultures derived from human induced Pluripotent Stem Cells (hiPSCs) coupled to Micro Electrode Arrays (MEA) in order to obtain an engineered and controlled brain-on-a-chip model. The use of patient specific iPSCs may offer novel insights into the pathophysiology of a large variety of disorders, including numerous neurodevelopmental and late-onset neurodegenerative conditions. With these in vitro patient specific models, we may have the possibility to test drugs and find ad hoc therapies in the direction of precision medicine.",NA,840,"EMBASE","r"
"Muzzi L and Martinoia S and Frega M","Brain-on-a-Chip: A Human 3D Model for Clinical Application.","Studies in health technology and informatics","The main goal of this research is to design, develop and implement an efficient protocol to generate 3D neural cultures derived from human induced Pluripotent Stem Cells (hiPSCs) coupled to Micro Electrode Arrays (MEA) in order to obtain an engineered and controlled brain-on-a-chip model. The use of patient specific iPSCs may offer novel insights into the pathophysiology of a large variety of disorders, including numerous neurodevelopmental and late-onset neurodegenerative conditions. With these in vitro patient specific models, we may have the possibility to test drugs and find ad hoc therapies in the direction of precision medicine.",NA,2227,"PubMed","r"
"Young, S.","Building an organ on a chip","Technology Review","Susan Young suggests that Microscale devices that mimic human organs could provide a more realistic environment for drug discovery. Donald Ingber, director of Harvard University's Wyss Institute, states that scientists plan to test the proposed solution with human cells that exhibit organlike structures and functions. Ingber and his team are developing a menagerie of microscale devices that replicate the structures and environments of actual human organs more closely than a simple culture dish to achieve this objective. The Wyss Institute's first organ is a breathing lung on a microchip, which is a transparent micro device made of cell-friendly materials and serves as a platform for growing human lung cells. Tiny channels cut through the device, enabling air and liquid to flow through the central channels where the lung cells are grown and scientists can apply vacuum pressure to the side channels so that the central channels expand and contract similar to human lungs.",NA,3235,"Scopus","k"
"Young, Susan","Building an Organ on a Chip","TECHNOLOGY REVIEW",NA,NA,3317,"Web of Science","r"
"Preksha, G. and Yesheswini, R. and Srikanth, C.V.","Cell culture techniques in gastrointestinal research: Methods, possibilities and challenges","Indian Journal of Pathology and Microbiology","Cell culture is one of the most valuable tools which is being applied in both fundamental and applied gastrointestinal research. The cells are isolated from their natural location (in vivo) and further propagated in vitro or artificial environment and studied. Over the years, several methods have been devised to isolate animal cells derived from the gut and culture them in vitro to study the functions and biology in the context of complex gastrointestinal diseases. This mini-review briefly describes the types and methods of cell culture covering the simplest monoculture models to more recent 3D organoid models, highlighting its importance in personalized precession medicine and other aspects of translational research. It also throws light upon the major challenges and outlines the future directions for using cell culture as a model system.  2021 Indian Journal of Pathology and Microbiology | Published by Wolters Kluwer - Medknow.","10.4103/ijpm.ijpm_933_20",2858,"Scopus","k"
"Preksha, Gaur and Yesheswini, Rajendran and Srikanth, V, Chittur","Cell culture techniques in gastrointestinal research: Methods, possibilities and challenges","INDIAN JOURNAL OF PATHOLOGY AND MICROBIOLOGY","Cell culture is one of the most valuable tools which is being applied in both fundamental and applied gastrointestinal research. The cells are isolated from their natural location (in vivo) and further propagated in vitro or artificial environment and studied. Over the years, several methods have been devised to isolate animal cells derived from the gut and culture them in vitro to study the functions and biology in the context of complex gastrointestinal diseases. This mini-review briefly describes the types and methods of cell culture covering the simplest monoculture models to more recent 3D organoid models, highlighting its importance in personalized precession medicine and other aspects of translational research. It also throws light upon the major challenges and outlines the future directions for using cell culture as a model system.","10.4103/ijpm.ijpm\_933\_20",3351,"Web of Science","r"
"He Y.-T. and Zhu X.-L. and Li S.-F. and Zhang B.-Q. and Li Y. and Wu Q. and Zhang Y.-L. and Zhou Y.-Y. and Li L. and Qi Y.-N. and Bao J. and Bu H.","Creating rat hepatocyte organoid as an in vitro model for drug testing","World J. Stem Cells","BACKGROUND Liver organoids have recently been applied as models for liver disease and drug screening, especially when combined with liver-on-a-chip technologies. Compared to hepatocyte-like cells, primary hepatocytes have high functionality but cannot maintain their function when cultured in vitro. Mesenchymal stem cells (MSCs) enhance hepatocyte function and maintain hepatocyte metabolism when co-cultured with hepatocytes. MSCs can help induced pluripotent stem cells to generate an organoid structure via the MSC-based traction force triggered by extracellular matrix (ECM) proteins. In this study, primary hepatocytes were co-cultured with MSCs on a liver-derived ECM to generate liver organoids within a short duration. AIM To create hepatocyte organoids by co-culturing primary hepatocytes with MSCs on a porcine liver extracellular matrix (PLECM) gel. METHODS Perfusion and enzymatic hydrolysis were used to form the PLECM gel. Rat hepatocytes and human MSCs were mixed and plated on pre-solidified PLECM gel in a 48-well plate for 48 h to generate organoids. Generated organoids were evaluated through hematoxylin and eosin, periodic acid-Schiff, immuno-histological, and immunofluorescence staining, and quantitative PCR for alb, CYP450 gene markers, and urea cycle genes. Culture medium was collected to detect albumin (ALB) and urea production on days 2,4, 6,8,14, and 20. RESULTS The whole porcine liver was perfused and enzymatically hydrolyzed to form a PLECM gel. The structural components and basement membrane composition of the ECM, such as collagen type I, collagen type IV, fibronectin, and laminin, were demonstrated to be retained. Through interaction of human MSCs with the liver-derived ECM, primary hepatocytes and human MSCs assembled together into a 3D construction and generated primary hepatocyte organoids for 48 h. The mRNAs of the gene alb, the CYP450 gene markers cyp1a1, cyp1a2, and cyp3a2 as well as urea cycle genes arg-1, asl, ass-1, cps-1, nags were highly expressed in hepatocyte organoids. Long-term survival of the primary hepatocyte organoids, as well as stable functionality, was demonstrated via ALB and urea production in vitro. CONCLUSION Our new method of creating primary hepatocyte organoids by co-culturing hepatocytes with MSCs on liver-derived ECM hydrogels could be used to develop models for liver disease and for drug screening.","10.4252/wjsc.vl2.il0.1184",614,"EMBASE","r"
"He YT and Zhu XL and Li SF and Zhang BQ and Li Y and Wu Q and Zhang YL and Zhou YY and Li L and Qi YN and Bao J and Bu H","Creating rat hepatocyte organoid as an in vitro model for drug testing.","World journal of stem cells","BACKGROUND: Liver organoids have recently been applied as models for liver disease and drug screening, especially when combined with liver-on-a-chip technologies. Compared to hepatocyte-like cells, primary hepatocytes have high functionality but cannot maintain their function when cultured in vitro. Mesenchymal stem cells (MSCs) enhance hepatocyte function and maintain hepatocyte metabolism when co-cultured with hepatocytes. MSCs can help induced pluripotent stem cells to generate an organoid structure via the MSC-based traction force triggered by extracellular matrix (ECM) proteins. In this study, primary hepatocytes were co-cultured with MSCs on a liver-derived ECM to generate liver organoids within a short duration. AIM: To create hepatocyte organoids by co-culturing primary hepatocytes with MSCs on a porcine liver extracellular matrix (PLECM) gel. METHODS: Perfusion and enzymatic hydrolysis were used to form the PLECM gel. Rat hepatocytes and human MSCs were mixed and plated on pre-solidified PLECM gel in a 48-well plate for 48 h to generate organoids. Generated organoids were evaluated through hematoxylin and eosin, periodic acid-Schiff, immuno-histological, and immunofluorescence staining, and quantitative PCR for alb, CYP450 gene markers, and urea cycle genes. Culture medium was collected to detect albumin (ALB) and urea production on days 2, 4, 6, 8, 14, and 20. RESULTS: The whole porcine liver was perfused and enzymatically hydrolyzed to form a PLECM gel. The structural components and basement membrane composition of the ECM, such as collagen type I, collagen type IV, fibronectin, and laminin, were demonstrated to be retained. Through interaction of human MSCs with the liver-derived ECM, primary hepatocytes and human MSCs assembled together into a 3D construction and generated primary hepatocyte organoids for 48 h. The mRNAs of the gene alb, the CYP450 gene markers cyp1a1, cyp1a2, and cyp3a2 as well as urea cycle genes arg-1, asl, ass-1, cps-1, nags were highly expressed in hepatocyte organoids. Long-term survival of the primary hepatocyte organoids, as well as stable functionality, was demonstrated via ALB and urea production in vitro. CONCLUSION: Our new method of creating primary hepatocyte organoids by co-culturing hepatocytes with MSCs on liver-derived ECM hydrogels could be used to develop models for liver disease and for drug screening.","10.4252/wjsc.v12.i10.1184",2570,"PubMed","k"
"Mawad, Damia and Figtree, Gemma and Gentile, Carmine","Current Technologies Based on the Knowledge of the Stem Cells Microenvironments",NA,"The stem cell microenvironment or niche plays a critical role in the regulation of survival, differentiation and behavior of stem cells and their progenies. Recapitulating each aspect of the stem cell niche is therefore essential for their optimal use in in vitro studies and in vivo as future therapeutics in humans. Engineering of optimal conditions for three-dimensional stem cell culture includes multiple transient and dynamic physiological stimuli, such as blood flow and tissue stiffness. Bioprinting and microfluidics technologies, including organs-on-a-chip, are among the most recent approaches utilized to replicate the three-dimensional stem cell niche for human tissue fabrication that allow the integration of multiple levels of tissue complexity, including blood flow. This chapter focuses on the physico-chemical and genetic cues utilized to engineer the stem cell niche and provides an overview on how both bioprinting and microfluidics technologies are improving our knowledge in this field for both disease modeling and tissue regeneration, including drug discovery and toxicity high-throughput assays and stem cell-based therapies in humans.","10.1007/978-3-319-69194-7\_13",3324,"Web of Science","r"
"Mawad D and Figtree G and Gentile C","Current Technologies Based on the Knowledge of the Stem Cells Microenvironments.","Advances in experimental medicine and biology","The stem cell microenvironment or niche plays a critical role in the regulation of survival, differentiation and behavior of stem cells and their progenies. Recapitulating each aspect of the stem cell niche is therefore essential for their optimal use in in vitro studies and in vivo as future therapeutics in humans. Engineering of optimal conditions for three-dimensional stem cell culture includes multiple transient and dynamic physiological stimuli, such as blood flow and tissue stiffness. Bioprinting and microfluidics technologies, including organs-on-a-chip, are among the most recent approaches utilized to replicate the three-dimensional stem cell niche for human tissue fabrication that allow the integration of multiple levels of tissue complexity, including blood flow. This chapter focuses on the physico-chemical and genetic cues utilized to engineer the stem cell niche and provides an overview on how both bioprinting and microfluidics technologies are improving our knowledge in this field for both disease modeling and tissue regeneration, including drug discovery and toxicity high-throughput assays and stem cell-based therapies in humans.","10.1007/978-3-319-69194-7_13",2838,"PubMed","k"
"Long C. and Finch C. and Esch M. and Anderson W. and Shuler M. and Hickman J.","Design optimization of liquid-phase flow patterns for microfabricated lung on a chip","Ann Biomed Eng","Microreactors experience significant deviations from plug flow due to the no-slip boundary condition at the walls of the chamber. The development of stagnation zones leads to widening of the residence time distribution at the outlet of the reactor. A hybrid design optimization process that combines modeling and experiments has been utilized to minimize the width of the residence time distribution in a microreactor. The process was used to optimize the design of a microfluidic system for an in vitro model of the lung alveolus. Circular chambers to accommodate commercial membrane supported cell constructs are a particularly challenging geometry in which to achieve a uniform residence time distribution. Iterative computational fluid dynamics (CFD) simulations were performed to optimize the microfluidic structures for two different types of chambers. The residence time distributions of the optimized chambers were significantly narrower than those of non-optimized chambers, indicating that the final chambers better approximate plug flow. Qualitative and quantitative visualization experiments with dye indicators demonstrated that the CFD results accurately predicted the residence time distributions within the bioreactors. The results demonstrate that such a hybrid optimization process can be used to design microreactors that approximate plug flow for in vitro tissue engineered systems. This technique has broad application for optimization of microfluidic body-on-a-chip systems for drug and toxin studies.",NA,1369,"EMBASE","r"
"Long, C. and Finch, C. and Esch, M. and Anderson, W. and Shuler, M. and Hickman, J.","Design optimization of liquid-phase flow patterns for microfabricated lung on a chip","Annals of Biomedical Engineering","Microreactors experience significant deviations from plug flow due to the no-slip boundary condition at the walls of the chamber. The development of stagnation zones leads to widening of the residence time distribution at the outlet of the reactor. A hybrid design optimization process that combines modeling and experiments has been utilized to minimize the width of the residence time distribution in a microreactor. The process was used to optimize the design of a microfluidic system for an in vitro model of the lung alveolus. Circular chambers to accommodate commercial membrane supported cell constructs are a particularly challenging geometry in which to achieve a uniform residence time distribution. Iterative computational fluid dynamics (CFD) simulations were performed to optimize the microfluidic structures for two different types of chambers. The residence time distributions of the optimized chambers were significantly narrower than those of non-optimized chambers, indicating that the final chambers better approximate plug flow. Qualitative and quantitative visualization experiments with dye indicators demonstrated that the CFD results accurately predicted the residence time distributions within the bioreactors. The results demonstrate that such a hybrid optimization process can be used to design microreactors that approximate plug flow for in vitro tissue engineered systems. This technique has broad application for optimization of microfluidic body-on-a-chip systems for drug and toxin studies.  2012 Biomedical Engineering Society.","10.1007/s10439-012-0513-8",2110,"Scopus","k"
"Hao, H.-C. and Yao, D.-J.","Detection of cancer cells on a chip","Current Topics in Medicinal Chemistry","Metastasis is the cause of most cancer mortality. Circulating tumour cells (CTC) are cells that are released from a primary tumour into the bloodstream and that are considered to act as the main promoters of metastasis. These cells are therefore targets for the understanding of tumour biology and an improvement of clinical management of the disease. Early detection of CTC and analysis of their cell surface markers provide critical information for the diagnosis of cancer and its target therapy. CTC are shed into the bloodstream as tumours grow, and are believed to initiate the spread of cancer. The identification and analysis of CTC is thus an important objective for the development of noninvasive cancer diagnosis. Methods of capture and detection of CTC have been complicated and costly, and the captured cells could not be cultured and expanded directly. Because CTC are rare, existing as only a few per one billion blood cells, a highly efficient method is required to capture and to culture CTC for further assay. Chipbased and traditional methods have emerged to isolate, to detect and to characterize CTC. As CTC are a rare event, their investigation requires multidisciplinary considerations of both biological and physical properties. Chip-based biosensor platforms are being introduced into the technology for the quantification of CTC with promising results. This review describes recent progress in the identification of CTC; the approach developed has a simple workflow and scalable multiplexing, which makes it ideal for further investigation of CTC biomarkers.  2015 Bentham Science Publishers.","10.2174/1568026615666150414150950",1271,"Scopus","k"
"Hao, Hsu-Chao and Yao, Da-Jeng","Detection of Cancer Cells on a Chip","CURRENT TOPICS IN MEDICINAL CHEMISTRY","Metastasis is the cause of most cancer mortality. Circulating tumour cells (CTC) are cells that are released from a primary tumour into the bloodstream and that are considered to act as the main promoters of metastasis. These cells are therefore targets for the understanding of tumour biology and an improvement of clinical management of the disease. Early detection of CTC and analysis of their cell surface markers provide critical information for the diagnosis of cancer and its target therapy. CTC are shed into the bloodstream as tumours grow, and are believed to initiate the spread of cancer. The identification and analysis of CTC is thus an important objective for the development of non-invasive cancer diagnosis. Methods of capture and detection of CTC have been complicated and costly, and the captured cells could not be cultured and expanded directly. Because CTC are rare, existing as only a few per one billion blood cells, a highly efficient method is required to capture and to culture CTC for further assay. Chip-based and traditional methods have emerged to isolate, to detect and to characterize CTC. As CTC are a rare event, their investigation requires multidisciplinary considerations of both biological and physical properties. Chip-based biosensor platforms are being introduced into the technology for the quantification of CTC with promising results. This review describes recent progress in the identification of CTC; the approach developed has a simple workflow and scalable multiplexing, which makes it ideal for further investigation of CTC biomarkers.",NA,3353,"Web of Science","r"
"Junaid A and Tang H and van Reeuwijk A and Abouleila Y and Wuelfroth P and van Duinen V and Stam W and van Zonneveld AJ and Hankemeier T and Mashaghi A","Ebola Hemorrhagic Shock Syndrome-on-a-Chip.","iScience","Ebola virus, for which we lack effective countermeasures, causes hemorrhagic fever in humans, with significant case fatality rates. Lack of experimental human models for Ebola hemorrhagic fever is a major obstacle that hinders the development of treatment strategies. Here, we model the Ebola hemorrhagic syndrome in a microvessel-on-a-chip system and demonstrate its applicability to drug studies. Luminal infusion of Ebola virus-like particles leads to albumin leakage from the engineered vessels. The process is mediated by the Rho/ROCK pathway and is associated with cytoskeleton remodeling. Infusion of Ebola glycoprotein (GP(1,2)) generates a similar phenotype, indicating the key role of GP(1,2) in this process. Finally, we measured the potency of a recently developed experimental drug FX06 and a novel drug candidate, melatonin, in phenotypic rescue. Our study confirms the effects of FX06 and identifies melatonin as an effective, safe, inexpensive therapeutic option that is worth investigating in animal models and human trials.","10.1016/j.isci.2019.100765",2300,"PubMed","u"
"Myers D.R. and Sakurai Y. and Tran R. and Ahn B. and Hardy E.T. and Mannino R. and Kita A. and Tsai M. and Lam W.A.","Endothelialized microfluidics for studying microvascular interactions in hematologic diseases","J Vis Exp","Advances in microfabrication techniques have enabled the production of inexpensive and reproducible microfluidic systems for conducting biological and biochemical experiments at the micro- and nanoscales (1,2). In addition, microfluidics have also been specifically used to quantitatively analyze hematologic and microvascular processes, because of their ability to easily control the dynamic fluidic environment and biological conditions(3-6). As such, researchers have more recently used microfluidic systems to study blood cell deformability, blood cell aggregation, microvascular blood flow, and blood cell-endothelial cell interactions(6-13).However, these microfluidic systems either did not include cultured endothelial cells or were larger than the sizescale relevant to microvascular pathologic processes. A microfluidic platform with cultured endothelial cells that accurately recapitulates the cellular, physical, and hemodynamic environment of the microcirculation is needed to further our understanding of the underlying biophysical pathophysiology of hematologic diseases that involve the microvasculature. Here, we report a method to create an ""endothelialized"" in vitro model of the microvasculature, using a simple, single mask microfabrication process in conjunction with standard endothelial cell culture techniques, to study pathologic biophysical microvascular interactions that occur in hematologic disease. This ""microvasculature-on-a-chip"" provides the researcher with a robust assay that tightly controls biological as well as biophysical conditions and is operated using a standard syringe pump and brightfield/fluorescence microscopy. Parameters such as microcirculatory hemodynamic conditions, endothelial cell type, blood cell type(s) and concentration(s), drug/inhibitory concentration etc., can all be easily controlled. As such, our microsystem provides a method to quantitatively investigate disease processes in which microvascular flow is impaired due to alterations in cell adhesion, aggregation, and deformability, a capability unavailable with existing assays.",NA,1363,"EMBASE","r"
"Myers DR and Sakurai Y and Tran R and Ahn B and Hardy ET and Mannino R and Kita A and Tsai M and Lam WA","Endothelialized microfluidics for studying microvascular interactions in hematologic diseases.","Journal of visualized experiments : JoVE","Advances in microfabrication techniques have enabled the production of inexpensive and reproducible microfluidic systems for conducting biological and biochemical experiments at the micro- and nanoscales (1,2). In addition, microfluidics have also been specifically used to quantitatively analyze hematologic and microvascular processes, because of their ability to easily control the dynamic fluidic environment and biological conditions(3-6). As such, researchers have more recently used microfluidic systems to study blood cell deformability, blood cell aggregation, microvascular blood flow, and blood cell-endothelial cell interactions(6-13).However, these microfluidic systems either did not include cultured endothelial cells or were larger than the sizescale relevant to microvascular pathologic processes. A microfluidic platform with cultured endothelial cells that accurately recapitulates the cellular, physical, and hemodynamic environment of the microcirculation is needed to further our understanding of the underlying biophysical pathophysiology of hematologic diseases that involve the microvasculature. Here, we report a method to create an ""endothelialized"" in vitro model of the microvasculature, using a simple, single mask microfabrication process in conjunction with standard endothelial cell culture techniques, to study pathologic biophysical microvascular interactions that occur in hematologic disease. This ""microvasculature-on-a-chip"" provides the researcher with a robust assay that tightly controls biological as well as biophysical conditions and is operated using a standard syringe pump and brightfield/fluorescence microscopy. Parameters such as microcirculatory hemodynamic conditions, endothelial cell type, blood cell type(s) and concentration(s), drug/inhibitory concentration etc., can all be easily controlled. As such, our microsystem provides a method to quantitatively investigate disease processes in which microvascular flow is impaired due to alterations in cell adhesion, aggregation, and deformability, a capability unavailable with existing assays.","10.3791/3958",2130,"PubMed","k"
"Caballero, David and Reis, Rui L. and Kundu, Subhas C.","Engineering Patient-on-a-Chip Models for Personalized Cancer Medicine",NA,"Traditional in vitro and in vivo models typically used in cancer research have demonstrated a low predictive power for human response. This leads to high attrition rates of new drugs in clinical trials, which threaten cancer patient prognosis. Tremendous efforts have been directed towards the development of a new generation of highly predictable preclinical models capable to reproduce in vitro the biological complexity of the human body. Recent advances in nanotechnology and tissue engineering have enabled the development of predictive organs-on-a-chip models of cancer with advanced capabilities. These models can reproduce in vitro the complex three-dimensional physiology and interactions that occur between organs and tissues in vivo, offering multiple advantages when compared to traditional models. Importantly, these models can be tailored to the biological complexity of individual cancer patients resulting into biomimetic and personalized cancer patient-on-a-chip platforms. The individualized models provide a more accurate and physiological environment to predict tumor progression on patients and their response to drugs. In this chapter, we describe the latest advances in the field of cancer patient-on-a-chip, and discuss about their main applications and current challenges. Overall, we anticipate that this new paradigm in cancer in vitro models may open up new avenues in the field of personalized cancer - medicine, which may allow pharmaceutical companies to develop more efficient drugs, and clinicians to apply patient-specific therapies.","10.1007/978-3-030-36588-2\_4",3323,"Web of Science","r"
"Caballero D and Reis RL and Kundu SC","Engineering Patient-on-a-Chip Models for Personalized Cancer Medicine.","Advances in experimental medicine and biology","Traditional in vitro and in vivo models typically used in cancer research have demonstrated a low predictive power for human response. This leads to high attrition rates of new drugs in clinical trials, which threaten cancer patient prognosis. Tremendous efforts have been directed towards the development of a new generation of highly predictable pre-clinical models capable to reproduce in vitro the biological complexity of the human body. Recent advances in nanotechnology and tissue engineering have enabled the development of predictive organs-on-a-chip models of cancer with advanced capabilities. These models can reproduce in vitro the complex three-dimensional physiology and interactions that occur between organs and tissues in vivo, offering multiple advantages when compared to traditional models. Importantly, these models can be tailored to the biological complexity of individual cancer patients resulting into biomimetic and personalized cancer patient-on-a-chip platforms. The individualized models provide a more accurate and physiological environment to predict tumor progression on patients and their response to drugs. In this chapter, we describe the latest advances in the field of cancer patient-on-a-chip, and discuss about their main applications and current challenges. Overall, we anticipate that this new paradigm in cancer in vitro models may open up new avenues in the field of personalized - cancer - medicine, which may allow pharmaceutical companies to develop more efficient drugs, and clinicians to apply patient-specific therapies.","10.1007/978-3-030-36588-2_4",2626,"PubMed","k"
"Richardson L and Gnecco J and Ding T and Osteen K and Rogers LM and Aronoff DM and Menon R","Fetal Membrane Organ-On-Chip: An Innovative Approach to Study Cellular Interactions.","Reproductive sciences (Thousand Oaks, Calif.)","OBJECTIVE: Fetal membranes, a vital component that helps maintain pregnancy and contribute to parturition signaling, are often studied in segments due to its structural complexity. Transwells are traditionally used to study cell interactions; however, their usefulness is limited. To overcome these difficulties, a fetal membrane-organ-on-chip (FM-OO-C) was created to study interactive properties of amnion epithelial cells (AECs) and decidual cells compared to transwell systems. METHODS: Primary AECs and decidual cells from term, nonlaboring fetal membranes were cultured in a 2-chamber (AEC/decidual cell) FM-OO-C device and sandwiched between a semipermeable membrane. Cells were treated with cigarette smoke extract (CSE) or dioxin, and membrane permeability and cellular senescence were measured after 48 hours. The same experiments were conducted in transwells for comparisons. RESULTS: Compared to transwell cultures, FM-OO-C model produced better membrane permeability readings regardless of the side of treatment or time point. Membrane permeabilization was higher in AECs directly treated with CSE (1.6 fold) compared to similar treatment on the decidual side (1.2 fold). In FM-OO-C, treatments forced changes between cellular layers. This was evident when CSE and dioxin-induced senescence on one side of the chamber produced similar changes on the opposite side. This effect was minimal in the transwell system. CONCLUSION: The controlled environment of an FM-OO-C allows for improved signal propagation between cells by minimizing noise and highlighting the small changes between treatments that cannot be seen in conventional transwell devices. Fetal membrane-organ-on-chip provides a better interaction between cell types that can be used to study fetal-maternal signaling during pregnancy in future studies.","10.1007/s43032-020-00184-9",713,"PubMed","k"
